EPOCH 14 D_LOSS: tf.Tensor(0.83819294, shape=(), dtype=float32)
EPOCH 0 FID: tf.Tensor(398.65817, shape=(), dtype=float32)
EPOCH 0 G_LOSS: tf.Tensor(4.503224, shape=(), dtype=float32)
EPOCH 0 D_LOSS: tf.Tensor(0.98888564, shape=(), dtype=float32)
EPOCH 1 FID: tf.Tensor(355.15292, shape=(), dtype=float32)
EPOCH 1 G_LOSS: tf.Tensor(4.3455377, shape=(), dtype=float32)
EPOCH 1 D_LOSS: tf.Tensor(0.9814779, shape=(), dtype=float32)
EPOCH 2 FID: tf.Tensor(414.43628, shape=(), dtype=float32)
EPOCH 2 G_LOSS: tf.Tensor(4.2920613, shape=(), dtype=float32)
EPOCH 2 D_LOSS: tf.Tensor(1.0790833, shape=(), dtype=float32)
EPOCH 3 FID: tf.Tensor(330.105, shape=(), dtype=float32)
EPOCH 3 G_LOSS: tf.Tensor(5.4324164, shape=(), dtype=float32)
EPOCH 3 D_LOSS: tf.Tensor(1.1991607, shape=(), dtype=float32)
EPOCH 4 FID: tf.Tensor(374.02002, shape=(), dtype=float32)
EPOCH 4 G_LOSS: tf.Tensor(4.47834, shape=(), dtype=float32)
EPOCH 4 D_LOSS: tf.Tensor(0.89880997, shape=(), dtype=float32)
EPOCH 5 FID: tf.Tensor(325.65854, shape=(), dtype=float32)
EPOCH 5 G_LOSS: tf.Tensor(5.1383576, shape=(), dtype=float32)
EPOCH 5 D_LOSS: tf.Tensor(1.0886825, shape=(), dtype=float32)
EPOCH 6 FID: tf.Tensor(334.4005, shape=(), dtype=float32)
EPOCH 6 G_LOSS: tf.Tensor(3.032213, shape=(), dtype=float32)
EPOCH 6 D_LOSS: tf.Tensor(0.92445296, shape=(), dtype=float32)
EPOCH 7 FID: tf.Tensor(368.81836, shape=(), dtype=float32)
EPOCH 7 G_LOSS: tf.Tensor(7.480947, shape=(), dtype=float32)
EPOCH 7 D_LOSS: tf.Tensor(0.87914324, shape=(), dtype=float32)
EPOCH 8 FID: tf.Tensor(369.49216, shape=(), dtype=float32)
EPOCH 8 G_LOSS: tf.Tensor(4.5906034, shape=(), dtype=float32)
EPOCH 8 D_LOSS: tf.Tensor(0.9105075, shape=(), dtype=float32)
EPOCH 9 FID: tf.Tensor(328.0113, shape=(), dtype=float32)
